REG : 1.061ns 1.061ns 1.061ns 1.061ns 1.061ns
ADD : 1.505ns 2.157ns 2.341ns 2.709ns 3.445ns
SUB : 1.505ns 2.157ns 2.341ns 2.709ns 3.445ns
MUL : 1.505ns 4.105ns 4.231ns 6.991ns 9.958ns
COMP : 1.505ns 2.290ns 2.043ns 2.225ns 2.593ns
MUX2x1 : 1.505ns 1.505ns 1.505ns 1.505ns 1.505ns
SHR : 1.505ns 2.341ns 2.565ns 2.759ns 3.355ns
SHL : 1.505ns 2.341ns 2.565ns 2.759ns 3.417ns
DIV : 1.505ns 10.798ns 23.558ns 58.312ns 164.531ns
MOD : 1.505ns 11.978ns 25.635ns 61.409ns 167.695ns
INC : 1.505ns 2.124ns 2.327ns 2.695ns 3.431ns
DEC : 1.505ns 1.898ns 2.325ns 2.693ns 3.429ns
